library_id	external_id	library_type	number_of_lanes_aggregated	sequenced_reads	preparation_id
CSM5FZ3N_C3001C1_MBX	CSM5FZ3N	metabolomics			CSM5FZ3N_C3001C1_MBX
CSM5FZ4C_C3001C5_MBX	CSM5FZ4C	metabolomics			CSM5FZ4C_C3001C5_MBX
CSM5MCVV_C3001C9_MBX	CSM5MCVV	metabolomics			CSM5MCVV_C3001C9_MBX
CSM67UA2_C3001C15_MBX	CSM67UA2	metabolomics			CSM67UA2_C3001C15_MBX
CSM79HGP_C3001C20_MBX	CSM79HGP	metabolomics			CSM79HGP_C3001C20_MBX
CSM79HMZ_C3001C24_MBX	CSM79HMZ	metabolomics			CSM79HMZ_C3001C24_MBX
CSM5FZ3T_C3002C1_MBX	CSM5FZ3T	metabolomics			CSM5FZ3T_C3002C1_MBX
CSM5FZ44_C3002C5_MBX	CSM5FZ44	metabolomics			CSM5FZ44_C3002C5_MBX
CSM5MCVN_C3002C9_MBX	CSM5MCVN	metabolomics			CSM5MCVN_C3002C9_MBX
CSM67UBH_C3002C14_MBX	CSM67UBH	metabolomics			CSM67UBH_C3002C14_MBX
CSM67UBN_C3002C17_MBX	CSM67UBN	metabolomics			CSM67UBN_C3002C17_MBX
CSM79HK1_C3002C21_MBX	CSM79HK1	metabolomics			CSM79HK1_C3002C21_MBX
CSM5FZ48_C3003C1_MBX	CSM5FZ48	metabolomics			CSM5FZ48_C3003C1_MBX
CSM5FZ4K_C3003C5_MBX	CSM5FZ4K	metabolomics			CSM5FZ4K_C3003C5_MBX
CSM5MCYK_C3003C10_MBX	CSM5MCYK	metabolomics			CSM5MCYK_C3003C10_MBX
CSM67UBZ_C3003C14_MBX	CSM67UBZ	metabolomics			CSM67UBZ_C3003C14_MBX
CSM79HLM_C3003C19_MBX	CSM79HLM	metabolomics			CSM79HLM_C3003C19_MBX
CSM5FZ4A_C3004C1_MBX	CSM5FZ4A	metabolomics			CSM5FZ4A_C3004C1_MBX
CSM5MCUC_C3004C5_MBX	CSM5MCUC	metabolomics			CSM5MCUC_C3004C5_MBX
CSM5MCXL_C3004C9_MBX	CSM5MCXL	metabolomics			CSM5MCXL_C3004C9_MBX
CSM67UDN_C3004C15_MBX	CSM67UDN	metabolomics			CSM67UDN_C3004C15_MBX
CSM79HLA_C3004C19_MBX	CSM79HLA	metabolomics			CSM79HLA_C3004C19_MBX
CSM5FZ4O_C3005C1_MBX	CSM5FZ4O	metabolomics			CSM5FZ4O_C3005C1_MBX
CSM5MCUU_C3005C4_MBX	CSM5MCUU	metabolomics			CSM5MCUU_C3005C4_MBX
CSM5MCY8_C3005C9_MBX	CSM5MCY8	metabolomics			CSM5MCY8_C3005C9_MBX
CSM67UEA_C3005C15_MBX	CSM67UEA	metabolomics			CSM67UEA_C3005C15_MBX
CSM67UEI_C3005C19_MBX	CSM67UEI	metabolomics			CSM67UEI_C3005C19_MBX
CSM5MCTZ_C3006C1_MBX	CSM5MCTZ	metabolomics			CSM5MCTZ_C3006C1_MBX
CSM5MCUM_C3006C5_MBX	CSM5MCUM	metabolomics			CSM5MCUM_C3006C5_MBX
CSM5MCX3_C3006C9_MBX	CSM5MCX3	metabolomics			CSM5MCX3_C3006C9_MBX
CSM67UFZ_C3006C14_MBX	CSM67UFZ	metabolomics			CSM67UFZ_C3006C14_MBX
CSM79HMN_C3006C19_MBX	CSM79HMN	metabolomics			CSM79HMN_C3006C19_MBX
CSM5MCU4_C3008C1_MBX	CSM5MCU4	metabolomics			CSM5MCU4_C3008C1_MBX
CSM5MCW4_C3008C4_MBX	CSM5MCW4	metabolomics			CSM5MCW4_C3008C4_MBX
